,단어,빈도
0,ㄱ,755431
1,ㄲ,21710
2,ㄴ,925466
3,ㄷ,409355
4,ㄸ,22060
5,ㄹ,663187
6,ㅁ,318818
7,ㅂ,270758
8,ㅃ,4910
9,ㅅ,425074
10,ㅆ,110447
11,ㅇ,1352034
12,ㅈ,400494
13,ㅉ,6398
14,ㅊ,123129
15,ㅋ,30223
16,ㅌ,84691
17,ㅍ,75354
18,ㅎ,353149
19,ㄳ,136
20,ㄵ,302
21,ㄶ,11448
22,ㄺ,4796
23,ㄻ,1297
24,ㄼ,609
25,ㄽ,0
26,ㄾ,15
27,ㄿ,3
28,ㅀ,764
29,ㅄ,7859
30,ㅏ,903897
31,ㅐ,232770
32,ㅑ,27158
33,ㅒ,542
34,ㅓ,411722
35,ㅔ,189647
36,ㅕ,231968
37,ㅖ,23831
38,ㅗ,429094
39,ㅘ,91446
40,ㅙ,7898
41,ㅚ,56808
42,ㅛ,43942
43,ㅜ,313721
44,ㅝ,46937
45,ㅞ,1169
46,ㅟ,29246
47,ㅠ,32671
48,ㅡ,512102
49,ㅢ,77305
50,ㅣ,639647
