,ㄱ,ㄴ,ㄷ,ㄹ,ㅁ,ㅂ,ㅅ,ㅇ,ㅈ,ㅊ,ㅋ,ㅌ,ㅍ,ㅎ,ㅏ,ㅐ,ㅑ,ㅓ,ㅔ,ㅕ,ㅗ,ㅛ,ㅜ,ㅠ,ㅡ,ㅣ
ㄱ,18802,43231,1856,24024,10892,6245,6928,41175,1660,158,0,590,273,4193,97188,25826,6861,35863,16069,24540,46116,4615,51961,4804,18880,68738
ㄴ,3387,5598,1041,825,1182,3478,10298,2973,598,118,0,862,38,1716,228456,10240,534,130190,12051,70519,32675,958,57006,3200,169230,126317
ㄷ,9179,55134,137,9219,8509,3807,76864,19770,286,54,0,661,1271,2028,28513,5979,246,8420,7841,1461,14627,1134,9541,1158,3578,35623
ㄹ,2706,11461,0,33157,1987,3109,38,11098,0,0,0,0,0,18,105746,11979,331,42464,12428,19576,32559,2451,47943,5874,209297,99792
ㅁ,5427,12866,0,7591,2264,1459,534,7968,63,116,2,34,20,0,51351,8304,313,24594,2952,3820,8422,547,11536,2149,25502,48029
ㅂ,6363,12880,199,9829,3910,1601,1508,16372,124,38,0,60,65,0,19615,7369,75,32782,3528,6325,7448,842,11545,458,9190,27828
ㅅ,17059,32968,11,11047,10368,12517,1623,34155,234,66,1,40,935,87,29561,46664,354,39630,39362,15128,23476,3148,17364,2003,4213,54659
ㅇ,65710,95599,4413,62842,39965,16693,32234,98086,2896,349,25,4995,4036,9751,148723,42802,11666,73156,18072,62951,83361,15140,38685,4180,39111,66566
ㅈ,17535,38396,478,12213,7677,6281,4341,26934,297,9,0,275,225,682,38464,8522,119,9346,8685,4697,11124,1970,14981,3115,1805,35170
ㅊ,2562,9252,112,3924,3468,2772,255,10808,1102,20,2,7,29,113,5399,4383,37,1443,1640,609,4517,1069,4149,868,699,7411
ㅋ,137,1604,0,705,166,67,352,1687,0,0,6,0,1,0,2067,296,72,569,806,43,1001,85,368,166,2825,5282
ㅌ,1997,8204,0,1355,1133,331,62,3347,1,6,1,0,4,1,9662,4503,38,1279,1709,194,2796,1165,7457,787,7292,5048
ㅍ,2603,3274,0,4081,3520,227,155,3161,0,9,0,2,3,0,6367,4557,39,1202,1352,288,4085,277,1804,219,2319,4450
ㅎ,27467,50733,156,18637,6403,6717,4128,46192,158,6,0,23,0,3,12525,17223,254,4601,4587,2112,16144,4118,7560,1637,643,29333
ㅏ,108718,50067,173912,39481,56889,53926,83921,63001,75840,22497,3699,13160,11855,146931,0,0,0,0,0,0,91446,0,0,0,0,0
ㅐ,14737,16378,56147,6601,7106,7691,13116,4456,13432,6530,1615,6927,3121,75455,0,0,0,0,0,0,7898,0,0,0,0,0
ㅑ,32,1815,4,3017,1,18,437,18959,9,1,0,0,0,2865,0,0,0,0,0,0,0,0,0,0,0,0
ㅓ,44423,5339,15867,18423,4143,19415,100400,62303,100309,20297,3464,10667,1853,4819,0,0,0,0,0,0,0,0,46937,0,0,0
ㅔ,36679,2893,8648,7144,2615,2931,13919,96043,24269,8665,1368,3711,2872,1721,0,0,0,0,0,0,0,0,1169,0,0,0
ㅕ,35926,16273,39,27435,44079,10409,1677,55681,4702,2289,1229,13,9098,23118,0,0,0,0,0,0,0,0,0,0,0,0
ㅗ,134069,14867,93979,70406,20379,40369,26145,45831,30124,16937,5225,17790,8405,60720,0,0,0,0,0,0,0,0,0,0,0,0
ㅛ,10210,107,0,3436,296,21,624,19639,351,5,172,0,7740,1341,0,0,0,0,0,0,0,0,0,0,0,0
ㅜ,59629,3320,12920,5315,35739,52391,40557,87104,46709,20307,1228,5137,5753,14964,0,0,0,0,0,0,0,0,0,0,0,0
ㅠ,4561,1349,116,3623,359,442,746,19601,24,11,171,127,265,1276,0,0,0,0,0,0,0,0,0,0,0,0
ㅡ,44685,102180,56890,57964,288,4103,33357,240509,8813,5327,7704,14032,8791,4764,0,0,0,0,0,0,0,0,0,0,0,0
ㅣ,60043,13287,4268,40868,26140,17151,81774,256813,95008,17330,4293,5454,8426,8790,0,0,0,0,0,0,56808,0,29246,0,77305,0
