,ㄱ,ㄴ,ㄷ,ㄹ,ㅁ,ㅂ,ㅅ,ㅇ,ㅈ,ㅊ,ㅋ,ㅌ,ㅍ,ㅎ,ㅏ,ㅐ,ㅑ,ㅓ,ㅔ,ㅕ,ㅗ,ㅛ,ㅜ,ㅠ,ㅡ,ㅣ
ㄱ,3,7,0,2,1,0,0,2,1,0,0,0,0,1,10,6,1,7,1,2,9,5,5,0,3,15
ㄴ,0,1,0,0,0,0,0,2,0,0,0,1,0,0,46,2,0,15,0,6,3,0,6,0,28,27
ㄷ,2,23,0,0,1,0,3,0,0,0,0,0,1,2,5,2,0,1,0,0,1,0,1,0,0,0
ㄹ,0,3,0,7,0,1,0,1,0,0,0,0,0,0,7,1,2,3,0,4,7,0,5,0,12,13
ㅁ,1,0,0,1,1,0,0,0,0,0,0,0,0,0,11,1,0,13,0,0,4,0,3,0,5,13
ㅂ,2,2,0,0,2,0,1,3,0,0,0,0,0,0,9,2,0,1,2,0,0,1,0,1,3,9
ㅅ,4,7,0,0,7,3,0,1,0,0,0,0,0,0,10,1,0,0,1,1,3,1,6,1,0,6
ㅇ,3,1,1,2,1,0,1,2,0,0,0,0,0,2,10,9,3,7,3,4,3,1,3,0,5,3
ㅈ,2,23,0,4,1,0,0,0,0,0,0,0,0,0,6,2,1,0,0,0,1,0,0,0,0,4
ㅊ,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
ㅋ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ㅌ,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,2,1
ㅍ,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,1
ㅎ,2,4,0,3,0,1,0,5,0,0,0,0,0,0,0,0,0,2,1,0,4,0,3,0,0,3
ㅏ,20,4,12,7,8,12,9,40,25,1,0,2,4,15,0,0,0,0,0,0,11,0,0,0,0,0
ㅐ,1,0,2,4,2,5,4,0,0,3,0,2,1,9,0,0,0,0,0,0,10,0,0,0,0,0
ㅑ,0,2,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ㅓ,3,1,1,4,1,0,11,11,17,0,2,1,0,4,0,0,0,0,0,0,0,0,5,0,0,0
ㅔ,7,2,22,1,1,3,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ㅕ,2,1,0,4,4,2,0,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ㅗ,14,3,9,6,5,5,5,14,4,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0
ㅛ,12,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ㅜ,3,0,0,0,11,5,21,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ㅠ,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ㅡ,35,1,5,2,0,2,9,9,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ㅣ,10,34,1,6,5,1,23,14,31,3,0,2,3,2,0,0,0,0,0,0,4,0,0,0,1,0
